County ID,County Name,Precinct Code,Precinct Name,School District Code,School District Name,Number of Registered Voters,,,,,,,,,
2,Anoka,25,ANDOVER P-5,11,ANOKA-HENNEPIN,2681,,,,,,,,,
2,Anoka,30,ANDOVER P-6,11,ANOKA-HENNEPIN,1281,,,,,,,,,
2,Anoka,30,ANDOVER P-6,15,ST. FRANCIS AREA,800,,,,,,,,,
2,Anoka,35,ANDOVER P-7,11,ANOKA-HENNEPIN,1957,,,,,,,,,
2,Anoka,40,ANDOVER P-8,11,ANOKA-HENNEPIN,2061,,,,,,,,,
2,Anoka,45,ANDOVER P-9,11,ANOKA-HENNEPIN,2259,,,,,,,,,
2,Anoka,50,ANDOVER P-10,11,ANOKA-HENNEPIN,2490,,,,,,,,,
2,Anoka,105,ANOKA P-1,11,ANOKA-HENNEPIN,1117,,,,,,,,,
2,Anoka,110,ANOKA P-2,11,ANOKA-HENNEPIN,1396,,,,,,,,,
2,Anoka,115,ANOKA P-3,11,ANOKA-HENNEPIN,1438,,,,,,,,,
2,Anoka,120,ANOKA P-4,11,ANOKA-HENNEPIN,1338,,,,,,,,,
2,Anoka,125,ANOKA P-5,11,ANOKA-HENNEPIN,1231,,,,,,,,,
2,Anoka,130,ANOKA P-6,11,ANOKA-HENNEPIN,1714,,,,,,,,,
2,Anoka,135,ANOKA P-7,11,ANOKA-HENNEPIN,1368,,,,,,,,,
2,Anoka,140,ANOKA P-8,11,ANOKA-HENNEPIN,1230,,,,,,,,,
2,Anoka,205,BETHEL P-1,15,ST. FRANCIS AREA,322,,,,,,,,,
2,Anoka,305,BLAINE W-1 P-1,11,ANOKA-HENNEPIN,525,,,,,,,,,
2,Anoka,305,BLAINE W-1 P-1,16,SPRING LAKE PARK,998,,,,,,,,,
2,Anoka,310,BLAINE W-1 P-2,16,SPRING LAKE PARK,1882,,,,,,,,,
2,Anoka,315,BLAINE W-1 P-3,16,SPRING LAKE PARK,1392,,,,,,,,,
2,Anoka,320,BLAINE W-1 P-4,11,ANOKA-HENNEPIN,303,,,,,,,,,
2,Anoka,320,BLAINE W-1 P-4,16,SPRING LAKE PARK,737,,,,,,,,,
2,Anoka,325,BLAINE W-1 P-5,12,CENTENNIAL,525,,,,,,,,,
2,Anoka,325,BLAINE W-1 P-5,16,SPRING LAKE PARK,1849,,,,,,,,,
2,Anoka,330,BLAINE W-1 P-6,12,CENTENNIAL,970,,,,,,,,,
2,Anoka,330,BLAINE W-1 P-6,16,SPRING LAKE PARK,533,,,,,,,,,
2,Anoka,335,BLAINE W-1 P-7,12,CENTENNIAL,1296,,,,,,,,,
2,Anoka,340,BLAINE W-1 P-8,12,CENTENNIAL,1362,,,,,,,,,
2,Anoka,405,BLAINE W-2 P-1,11,ANOKA-HENNEPIN,1432,,,,,,,,,
2,Anoka,410,BLAINE W-2 P-2A,11,ANOKA-HENNEPIN,540,,,,,,,,,
2,Anoka,410,BLAINE W-2 P-2A,16,SPRING LAKE PARK,843,,,,,,,,,
2,Anoka,415,BLAINE W-2 P-2B,11,ANOKA-HENNEPIN,1602,,,,,,,,,
2,Anoka,420,BLAINE W-2 P-3,11,ANOKA-HENNEPIN,1633,,,,,,,,,
2,Anoka,425,BLAINE W-2 P-4A,11,ANOKA-HENNEPIN,1837,,,,,,,,,
2,Anoka,430,BLAINE W-2 P-4B,16,SPRING LAKE PARK,1611,,,,,,,,,
2,Anoka,435,BLAINE W-2 P-5,11,ANOKA-HENNEPIN,743,,,,,,,,,
2,Anoka,435,BLAINE W-2 P-5,16,SPRING LAKE PARK,610,,,,,,,,,
2,Anoka,440,BLAINE W-2 P-6,11,ANOKA-HENNEPIN,436,,,,,,,,,
2,Anoka,440,BLAINE W-2 P-6,12,CENTENNIAL,118,,,,,,,,,
2,Anoka,440,BLAINE W-2 P-6,16,SPRING LAKE PARK,2455,,,,,,,,,
2,Anoka,505,BLAINE W-3 P-1,11,ANOKA-HENNEPIN,1842,,,,,,,,,
2,Anoka,510,BLAINE W-3 P-2,11,ANOKA-HENNEPIN,1747,,,,,,,,,
2,Anoka,515,BLAINE W-3 P-3,11,ANOKA-HENNEPIN,1713,,,,,,,,,
2,Anoka,520,BLAINE W-3 P-4,11,ANOKA-HENNEPIN,1899,,,,,,,,,
2,Anoka,525,BLAINE W-3 P-5,11,ANOKA-HENNEPIN,1778,,,,,,,,,
2,Anoka,530,BLAINE W-3 P-6,11,ANOKA-HENNEPIN,3768,,,,,,,,,
2,Anoka,535,BLAINE W-3 P-7,11,ANOKA-HENNEPIN,1847,,,,,,,,,
2,Anoka,535,BLAINE W-3 P-7,16,SPRING LAKE PARK,1219,,,,,,,,,
2,Anoka,540,BLAINE W-3 P-8,11,ANOKA-HENNEPIN,844,,,,,,,,,
2,Anoka,540,BLAINE W-3 P-8,12,CENTENNIAL,777,,,,,,,,,
2,Anoka,605,CENTERVILLE P-1,12,CENTENNIAL,2703,,,,,,,,,
2,Anoka,705,CIRCLE PINES P-1,12,CENTENNIAL,1297,,,,,,,,,
2,Anoka,710,CIRCLE PINES P-2,12,CENTENNIAL,2129,,,,,,,,,
2,Anoka,805,COLUMBIA HEIGHTS P-1,13,COLUMBIA HEIGHTS,2137,,,,,,,,,
2,Anoka,810,COLUMBIA HEIGHTS P-2,13,COLUMBIA HEIGHTS,1637,,,,,,,,,
2,Anoka,815,COLUMBIA HEIGHTS P-3,13,COLUMBIA HEIGHTS,1508,,,,,,,,,
2,Anoka,820,COLUMBIA HEIGHTS P-4,13,COLUMBIA HEIGHTS,1760,,,,,,,,,
2,Anoka,825,COLUMBIA HEIGHTS P-5,13,COLUMBIA HEIGHTS,1536,,,,,,,,,
2,Anoka,830,COLUMBIA HEIGHTS P-6,13,COLUMBIA HEIGHTS,1224,,,,,,,,,
2,Anoka,835,COLUMBIA HEIGHTS P-7,13,COLUMBIA HEIGHTS,1445,,,,,,,,,
2,Anoka,840,COLUMBIA HEIGHTS P-8,13,COLUMBIA HEIGHTS,1365,,,,,,,,,
2,Anoka,905,COLUMBUS P-1,831,FOREST LAKE,2989,,,,,,,,,
2,Anoka,1005,COON RAPIDS W-1 P-1,11,ANOKA-HENNEPIN,2724,,,,,,,,,
2,Anoka,1010,COON RAPIDS W-1 P-2,11,ANOKA-HENNEPIN,2327,,,,,,,,,
2,Anoka,1015,COON RAPIDS W-1 P-3,11,ANOKA-HENNEPIN,2114,,,,,,,,,
2,Anoka,1020,COON RAPIDS W-1 P-4,11,ANOKA-HENNEPIN,1402,,,,,,,,,
2,Anoka,1105,COON RAPIDS W-2 P-1,11,ANOKA-HENNEPIN,1930,,,,,,,,,
2,Anoka,1110,COON RAPIDS W-2 P-2,11,ANOKA-HENNEPIN,1362,,,,,,,,,
2,Anoka,1115,COON RAPIDS W-2 P-3,11,ANOKA-HENNEPIN,2069,,,,,,,,,
2,Anoka,1120,COON RAPIDS W-2 P-4,11,ANOKA-HENNEPIN,1319,,,,,,,,,
2,Anoka,1125,COON RAPIDS W-2 P-5,11,ANOKA-HENNEPIN,1663,,,,,,,,,
2,Anoka,1205,COON RAPIDS W-3 P-1,11,ANOKA-HENNEPIN,1741,,,,,,,,,
2,Anoka,1210,COON RAPIDS W-3 P-2,11,ANOKA-HENNEPIN,1788,,,,,,,,,
2,Anoka,1215,COON RAPIDS W-3 P-3,11,ANOKA-HENNEPIN,1778,,,,,,,,,
2,Anoka,1220,COON RAPIDS W-3 P-4,11,ANOKA-HENNEPIN,1831,,,,,,,,,
2,Anoka,1305,COON RAPIDS W-4 P-1,11,ANOKA-HENNEPIN,1899,,,,,,,,,
2,Anoka,1310,COON RAPIDS W-4 P-2,11,ANOKA-HENNEPIN,1920,,,,,,,,,
2,Anoka,1315,COON RAPIDS W-4 P-3,11,ANOKA-HENNEPIN,1836,,,,,,,,,
2,Anoka,1320,COON RAPIDS W-4 P-4,11,ANOKA-HENNEPIN,2369,,,,,,,,,
2,Anoka,1405,COON RAPIDS W-5 P-1,11,ANOKA-HENNEPIN,1761,,,,,,,,,
2,Anoka,1410,COON RAPIDS W-5 P-2,11,ANOKA-HENNEPIN,2006,,,,,,,,,
2,Anoka,1415,COON RAPIDS W-5 P-3,11,ANOKA-HENNEPIN,1258,,,,,,,,,
